key,type,side,segment,superclass,nt,count,peak_activity,gf_silenced_peak
AMMC003|R|,AMMC003,R,,cb_intrinsic,gaba,4,0.0001221635562165799,2.7893668009264053e-05
AMMC004|L|,AMMC004,L,,cb_intrinsic,gaba,3,4.051004056797108e-05,5.856235378460228e-06
AMMC004|R|,AMMC004,R,,cb_intrinsic,gaba,3,8.843171020420055e-05,1.8278545530677093e-05
AMMC005|L|,AMMC005,L,,cb_intrinsic,glutamate,6,4.05630406347198e-09,1.6957396567079177e-05
AMMC005|R|,AMMC005,R,,cb_intrinsic,glutamate,6,5.603318719158564e-10,5.603318719158564e-10
AMMC006|L|,AMMC006,L,,cb_intrinsic,glutamate,4,9.190825358260832e-06,4.208480202120922e-06
AMMC006|R|,AMMC006,R,,cb_intrinsic,glutamate,4,0.0,0.0
AMMC007|L|,AMMC007,L,,cb_intrinsic,glutamate,4,0.0,6.553627559803404e-07
AMMC007|R|,AMMC007,R,,cb_intrinsic,glutamate,5,2.0095881701640214e-08,1.3785592882800055e-09
AMMC008|L|,AMMC008,L,,cb_intrinsic,glutamate,1,0.0,0.0
AMMC008|R|,AMMC008,R,,cb_intrinsic,glutamate,1,4.050079373685447e-06,1.0619656164262616e-08
AMMC009|L|,AMMC009,L,,cb_intrinsic,gaba,1,0.0017822930575711335,0.0017422378239821776
AMMC009|R|,AMMC009,R,,cb_intrinsic,gaba,1,0.00040468353622742604,4.271520026665946e-05
AMMC010|L|,AMMC010,L,,cb_intrinsic,acetylcholine,1,0.008618331360047596,0.008418501143473313
AMMC010|R|,AMMC010,R,,cb_intrinsic,acetylcholine,1,0.0016094502667416747,0.001602975107518509
AMMC011|L|,AMMC011,L,,cb_intrinsic,acetylcholine,1,2.9451046409369132e-05,2.339385854314729e-06
AMMC011|R|,AMMC011,R,,cb_intrinsic,acetylcholine,1,0.0007707751953390341,0.000789738428851533
AMMC012|L|,AMMC012,L,,cb_intrinsic,acetylcholine,1,2.6612872731977898e-05,4.656009843737842e-06
AMMC012|R|,AMMC012,R,,cb_intrinsic,acetylcholine,1,4.5884859650599074e-05,7.49305477662364e-06
AMMC013|L|,AMMC013,L,,cb_intrinsic,acetylcholine,1,7.939767617369355e-06,5.762780737304145e-06
AMMC013|R|,AMMC013,R,,cb_intrinsic,acetylcholine,1,1.926663072073134e-06,0.0
AMMC014|L|,AMMC014,L,,cb_intrinsic,acetylcholine,2,0.004224266193248934,0.004018465029903547
AMMC014|R|,AMMC014,R,,cb_intrinsic,acetylcholine,2,0.0013947849787569568,0.0013187112059131288
AMMC015|L|,AMMC015,L,,cb_intrinsic,gaba,4,0.0004289412560002402,0.000429116650129808
AMMC015|R|,AMMC015,R,,cb_intrinsic,gaba,4,0.00031549953749107325,0.00031721825787153405
AMMC016|L|,AMMC016,L,,cb_intrinsic,acetylcholine,2,4.4291114852754345e-06,4.263812212985064e-06
AMMC016|R|,AMMC016,R,,cb_intrinsic,acetylcholine,2,7.823351894343115e-05,8.109101719834928e-05
AMMC017|L|,AMMC017,L,,cb_intrinsic,acetylcholine,2,9.080228487921293e-05,5.8868536854851386e-05
AMMC017|R|,AMMC017,R,,cb_intrinsic,acetylcholine,2,0.00024758957597384765,0.00015693023353043078
AMMC018|L|,AMMC018,L,,cb_intrinsic,gaba,5,0.0003000021730070168,3.6848669274928694e-05
AMMC018|R|,AMMC018,R,,cb_intrinsic,gaba,4,0.0009207743322196373,0.00013516503138073373
AMMC019|L|,AMMC019,L,,cb_intrinsic,gaba,5,0.0004288597793084077,5.7613430590408265e-05
AMMC019|R|,AMMC019,R,,cb_intrinsic,gaba,5,0.0009754838998631914,0.00014537579641043984
AMMC020|L|,AMMC020,L,,cb_intrinsic,gaba,5,0.0008018768054785981,0.0007933590705578824
AMMC020|R|,AMMC020,R,,cb_intrinsic,gaba,5,0.0008740432152813891,0.0008615050600971051
AMMC021|L|,AMMC021,L,,cb_intrinsic,gaba,2,8.342666613342289e-05,8.282679762577948e-05
AMMC021|R|,AMMC021,R,,cb_intrinsic,gaba,3,1.4566289817195075e-05,1.45130853982918e-05
AMMC022|L|,AMMC022,L,,cb_intrinsic,gaba,3,0.0,0.0
AMMC022|R|,AMMC022,R,,cb_intrinsic,gaba,3,0.0,0.0
AMMC023|L|,AMMC023,L,,cb_intrinsic,gaba,2,1.2173072389242716e-05,3.433627223048171e-06
AMMC023|R|,AMMC023,R,,cb_intrinsic,gaba,2,9.915136113075785e-05,5.114593754723095e-05
AMMC024|L|,AMMC024,L,,cb_intrinsic,gaba,1,2.3759493747098526e-05,2.662037624834599e-05
AMMC024|R|,AMMC024,R,,cb_intrinsic,gaba,1,0.00021066025637760084,0.00021492270637259647
AMMC025|L|,AMMC025,L,,cb_intrinsic,gaba,6,0.001522349299931324,0.0015101273065649594
AMMC025|R|,AMMC025,R,,cb_intrinsic,gaba,6,0.0006695605355344439,0.0006452825928274333
AMMC026|L|,AMMC026,L,,cb_intrinsic,gaba,5,0.00039319184797646925,4.960142939236814e-05
AMMC026|R|,AMMC026,R,,cb_intrinsic,gaba,5,0.0006927186360316641,8.744392571067994e-05
AMMC027|L|,AMMC027,L,,cb_intrinsic,gaba,1,0.00279282742945011,0.00282959803927554
AMMC027|R|,AMMC027,R,,cb_intrinsic,gaba,2,0.0016419435497383235,0.0015770705292919183
AMMC028|L|,AMMC028,L,,cb_intrinsic,gaba,2,0.000150051470417408,0.00014748796205699103
AMMC028|R|,AMMC028,R,,cb_intrinsic,gaba,2,0.00013947541324451054,0.00014677725588681107
AMMC029|L|,AMMC029,L,,cb_intrinsic,gaba,1,7.155977061717385e-08,1.1882351746616935e-07
AMMC029|R|,AMMC029,R,,cb_intrinsic,gaba,1,0.0,0.0
AMMC030|L|,AMMC030,L,,cb_intrinsic,gaba,2,0.0,0.0
AMMC030|R|,AMMC030,R,,cb_intrinsic,gaba,1,0.0,0.0
AMMC031|L|,AMMC031,L,,cb_intrinsic,gaba,2,0.000293209668962029,0.00029420354415547544
AMMC031|R|,AMMC031,R,,cb_intrinsic,gaba,3,5.53028663881839e-05,4.8783616285374936e-05
AMMC032|L|,AMMC032,L,,cb_intrinsic,gaba,2,0.007812208995500778,0.007644022011921684
AMMC032|R|,AMMC032,R,,cb_intrinsic,gaba,2,0.0023126678855296817,0.0021379021182402562
AMMC033|L|,AMMC033,L,,cb_intrinsic,gaba,2,0.0034162949050207656,0.003341757853380776
AMMC033|R|,AMMC033,R,,cb_intrinsic,gaba,1,0.0010380750038792394,0.000951048737112187
AMMC034_a|L|,AMMC034_a,L,,cb_intrinsic,acetylcholine,1,0.0001357644795611482,0.00014091690766960087
AMMC034_a|R|,AMMC034_a,R,,cb_intrinsic,acetylcholine,2,0.0005289473247466356,0.0005465097437140972
AMMC034_b|L|,AMMC034_b,L,,cb_intrinsic,acetylcholine,1,1.8668846703102385e-06,1.8610370616313954e-06
AMMC034_b|R|,AMMC034_b,R,,cb_intrinsic,acetylcholine,1,0.003931365856472258,0.0039463414150111694
AMMC035|L|,AMMC035,L,,cb_intrinsic,gaba,5,0.0007915460277857569,0.0008154306152165551
AMMC035|R|,AMMC035,R,,cb_intrinsic,gaba,5,0.00032380656163780316,0.0003293666626971389
AMMC036|L|,AMMC036,L,,cb_intrinsic,acetylcholine,3,0.002330394631809443,0.002287488949138783
AMMC036|R|,AMMC036,R,,cb_intrinsic,acetylcholine,3,0.005215601816352243,0.005197274568662471
AMMC037|L|,AMMC037,L,,cb_intrinsic,gaba,1,0.0009832852351747317,0.000971476112949854
AMMC037|R|,AMMC037,R,,cb_intrinsic,gaba,1,0.00011917243623963189,0.00012367335955918118
AMMC038|L|,AMMC038,L,,cb_intrinsic,gaba,1,3.297249053706875e-06,1.1261193437301626e-05
AMMC038|R|,AMMC038,R,,cb_intrinsic,gaba,1,0.0,4.370770544040234e-08
AN00A002|M|,AN00A002,M,,ascending_neuron,gaba,1,0.023943803859771653,0.02338768379183534
AN00A006|M|,AN00A006,M,,ascending_neuron,gaba,5,1.360182192168226e-05,9.822992680874023e-06
AN00A009|M|,AN00A009,M,,ascending_neuron,gaba,1,0.009367237521024536,0.009400839566603031
AN01A006|L|,AN01A006,L,,ascending_neuron,acetylcholine,1,4.374127659952855e-08,1.1412008674705418e-05
AN01A006|R|,AN01A006,R,,ascending_neuron,acetylcholine,1,0.00046041734820587496,0.0005242468921595144
AN01A014|L|,AN01A014,L,,ascending_neuron,acetylcholine,1,0.007791700050470948,0.007890686432237032
AN01A014|R|,AN01A014,R,,ascending_neuron,acetylcholine,1,0.007644787313528184,0.0076606822030672525
AN01A021|L|,AN01A021,L,,ascending_neuron,acetylcholine,1,1.2839393965122292e-05,1.293450365097639e-05
AN01A021|R|,AN01A021,R,,ascending_neuron,acetylcholine,1,7.642247068365508e-06,7.593137467719942e-06
AN01A033|L|,AN01A033,L,,ascending_neuron,acetylcholine,1,0.009288146145477419,0.009315673238400324
AN01A033|R|,AN01A033,R,,ascending_neuron,acetylcholine,1,0.002802828493246682,0.0028858363751314686
AN01A049|L|,AN01A049,L,,ascending_neuron,acetylcholine,1,0.005891312930162749,0.005912591583371674
AN01A049|R|,AN01A049,R,,ascending_neuron,acetylcholine,1,0.00858910083282194,0.008558816980171238
AN01A055|L|,AN01A055,L,,ascending_neuron,acetylcholine,1,0.00017505088386402865,1.6278174271901787e-06
AN01A055|R|,AN01A055,R,,ascending_neuron,acetylcholine,1,0.000115422827191164,0.0
AN01A086|L|,AN01A086,L,,ascending_neuron,acetylcholine,1,0.0,0.0
AN01A086|R|,AN01A086,R,,ascending_neuron,acetylcholine,1,2.602020501007971e-05,3.521642346071758e-06
AN01A089|L|,AN01A089,L,,ascending_neuron,acetylcholine,1,0.0,0.0
AN01A089|R|,AN01A089,R,,ascending_neuron,acetylcholine,1,0.0,0.0
AN01B002|L|,AN01B002,L,,ascending_neuron,gaba,3,0.0,0.0
AN01B002|R|,AN01B002,R,,ascending_neuron,gaba,3,0.0,0.0
AN01B004|L|,AN01B004,L,,ascending_neuron,acetylcholine,3,3.1367889173414147e-10,3.1367889173414147e-10
AN01B004|R|,AN01B004,R,,ascending_neuron,acetylcholine,3,8.458069560863694e-05,9.326060246202829e-05
AN01B005|L|,AN01B005,L,,ascending_neuron,gaba,3,1.7800581260494126e-05,4.796365731924478e-06
AN01B005|R|,AN01B005,R,,ascending_neuron,gaba,3,7.704224248631906e-06,8.401586147033911e-06
AN01B011|L|,AN01B011,L,,ascending_neuron,gaba,3,1.2772902967642863e-09,1.2772902967642863e-09
AN01B011|R|,AN01B011,R,,ascending_neuron,gaba,3,0.0,0.0
AN01B014|L|,AN01B014,L,,ascending_neuron,gaba,1,0.0,0.0
AN01B014|R|,AN01B014,R,,ascending_neuron,gaba,1,1.0872368630177976e-06,1.0842983067200014e-06
AN01B018|L|,AN01B018,L,,ascending_neuron,gaba,1,0.0002747187776497154,2.208677088464127e-05
AN01B018|R|,AN01B018,R,,ascending_neuron,gaba,1,0.0022622918331767906,0.0009763288791671289
AN02A001|L|,AN02A001,L,,ascending_neuron,glutamate,1,9.294549975343219e-05,7.784561472560333e-05
AN02A001|R|,AN02A001,R,,ascending_neuron,glutamate,1,0.00010276184800131245,8.630109420793923e-05
AN02A002|L|,AN02A002,L,,ascending_neuron,glutamate,1,0.002351557322797493,0.0003305313773709511
AN02A002|R|,AN02A002,R,,ascending_neuron,glutamate,1,0.0010137236777707035,4.9292648120648745e-05
AN02A005|L|,AN02A005,L,,ascending_neuron,glutamate,1,0.0010924197428589283,0.0010680753300749853
AN02A005|R|,AN02A005,R,,ascending_neuron,glutamate,1,1.0136907652408571e-05,6.327143645480159e-06
AN02A009|L|,AN02A009,L,,ascending_neuron,glutamate,1,0.0013393442988985733,0.0012144214513831648
AN02A009|R|,AN02A009,R,,ascending_neuron,glutamate,1,0.00018723549451131813,0.00014005441202342988
AN02A016|L|,AN02A016,L,,ascending_neuron,glutamate,1,0.00021132357467070243,5.401462973875226e-05
AN02A016|R|,AN02A016,R,,ascending_neuron,glutamate,1,0.00019514493628915188,4.3491129952230855e-05
AN02A017|L|,AN02A017,L,,ascending_neuron,glutamate,1,0.003757792753982099,0.0037601889112418136
AN02A017|R|,AN02A017,R,,ascending_neuron,glutamate,1,0.001639397719889081,0.0016203798035456728
AN02A022|L|,AN02A022,L,,ascending_neuron,glutamate,1,0.0,0.0
AN02A022|R|,AN02A022,R,,ascending_neuron,glutamate,1,0.0,0.0
AN02A025|L|,AN02A025,L,,ascending_neuron,glutamate,1,0.00466252896021791,0.002408970890347437
AN02A025|R|,AN02A025,R,,ascending_neuron,glutamate,1,0.0056408640332471895,0.005796140622100925
AN02A046|L|,AN02A046,L,,ascending_neuron,glutamate,1,0.005120478813532154,0.004985092498070966
AN02A046|R|,AN02A046,R,,ascending_neuron,glutamate,1,0.016066135965035797,0.0045517071460540156
AN03A002|L|,AN03A002,L,,ascending_neuron,acetylcholine,1,0.004023048670989219,0.004258494915131532
AN03A002|R|,AN03A002,R,,ascending_neuron,acetylcholine,1,0.005010900905136588,0.005126452867852866
AN03A008|L|,AN03A008,L,,ascending_neuron,acetylcholine,1,0.0028704166753557372,0.0029139136393073945
AN03A008|R|,AN03A008,R,,ascending_neuron,acetylcholine,1,0.003888175693739835,0.003983092207732947
AN03B009|L|,AN03B009,L,,ascending_neuron,gaba,1,7.849257997694834e-07,1.9235944431413104e-07
AN03B009|R|,AN03B009,R,,ascending_neuron,gaba,1,6.380818392758724e-08,6.380818392758724e-08
AN03B011|L|,AN03B011,L,,ascending_neuron,gaba,2,0.004407655168434157,0.004974464876748628
AN03B011|R|,AN03B011,R,,ascending_neuron,gaba,2,0.002279498633864255,0.002731897604572795
AN03B039|L|,AN03B039,L,,ascending_neuron,gaba,1,0.00102703895366381,0.000944751466696587
AN03B039|R|,AN03B039,R,,ascending_neuron,gaba,1,0.0016574605510195548,0.0015630098843503171
AN03B050|L|,AN03B050,L,,ascending_neuron,gaba,1,0.0001210484289224931,0.00012213618769504322
AN03B050|R|,AN03B050,R,,ascending_neuron,gaba,1,4.498261831051038e-05,4.552728835268753e-05
AN03B094|L|,AN03B094,L,,ascending_neuron,gaba,1,0.0016128649063100334,0.001763719057138284
AN03B094|R|,AN03B094,R,,ascending_neuron,gaba,1,0.003054861200354607,0.003108715280903006
AN03B095|L|,AN03B095,L,,ascending_neuron,gaba,1,0.005056787182516937,0.004504633552822931
AN03B095|R|,AN03B095,R,,ascending_neuron,gaba,1,0.009553282205316859,0.008272504258733356
AN04A001|L|,AN04A001,L,,ascending_neuron,acetylcholine,3,9.383640961837118e-05,3.243573580217055e-06
AN04A001|R|,AN04A001,R,,ascending_neuron,acetylcholine,3,0.000149171969766519,5.246099254425236e-06
AN04B001|L|,AN04B001,L,,ascending_neuron,acetylcholine,2,0.000567530652401881,0.0006640446841269164
AN04B001|R|,AN04B001,R,,ascending_neuron,acetylcholine,2,2.0808487087983626e-06,1.1599722863665609e-06
AN04B003|L|,AN04B003,L,,ascending_neuron,acetylcholine,3,0.0002980944382743358,0.000216134280282879
AN04B003|R|,AN04B003,R,,ascending_neuron,acetylcholine,3,3.1826608204075023e-06,0.0
AN04B004|L|,AN04B004,L,,ascending_neuron,acetylcholine,2,5.447227039022906e-10,5.447227039022906e-10
AN04B004|R|,AN04B004,R,,ascending_neuron,acetylcholine,2,1.2434547840802965e-09,1.2434547840802965e-09
AN04B023|L|,AN04B023,L,,ascending_neuron,acetylcholine,3,0.00040635105241567635,0.0004460485907588455
AN04B023|R|,AN04B023,R,,ascending_neuron,acetylcholine,3,0.0018639455309832273,0.0019485319385717924
AN04B051|L|,AN04B051,L,,ascending_neuron,acetylcholine,1,2.096794012843402e-06,1.4153143862992215e-06
AN04B051|R|,AN04B051,R,,ascending_neuron,acetylcholine,1,7.166471933620312e-06,1.1123408319601777e-05
AN05B004|L|,AN05B004,L,,ascending_neuron,gaba,1,0.00010675412499557646,0.00010282341577700625
AN05B004|R|,AN05B004,R,,ascending_neuron,gaba,1,0.00020050930761330627,0.0001955067548161516
AN05B005|L|,AN05B005,L,,ascending_neuron,gaba,1,7.602062700249753e-06,1.4944033500938361e-05
AN05B005|R|,AN05B005,R,,ascending_neuron,gaba,1,2.4563199758120393e-05,2.043485629954495e-05
AN05B006|L|,AN05B006,L,,ascending_neuron,gaba,2,0.026995053358289618,0.024884219910511908
AN05B006|R|,AN05B006,R,,ascending_neuron,gaba,1,0.020214654872686734,0.01982499620562563
AN05B007|L|,AN05B007,L,,ascending_neuron,gaba,1,0.005571790599314788,0.005322530286220892
AN05B009|L|,AN05B009,L,,ascending_neuron,gaba,2,0.0,0.0
AN05B009|R|,AN05B009,R,,ascending_neuron,gaba,2,0.0,0.0
AN05B010|L|,AN05B010,L,,ascending_neuron,gaba,1,0.006942476729650817,0.006996940514589807
AN05B015|L|,AN05B015,L,,ascending_neuron,gaba,1,2.6229098159276595e-06,2.6439718717439157e-06
AN05B015|R|,AN05B015,R,,ascending_neuron,gaba,1,2.5813127117101984e-06,2.6008466254310358e-06
AN05B017|L|,AN05B017,L,,ascending_neuron,gaba,1,1.0455312846289704e-05,3.4666452486918927e-07
AN05B021|L|,AN05B021,L,,ascending_neuron,gaba,1,2.6282016713041684e-09,3.0025615391225713e-09
AN05B021|R|,AN05B021,R,,ascending_neuron,gaba,1,8.634192012205394e-10,8.634192012205394e-10
AN05B023a|L|,AN05B023a,L,,ascending_neuron,gaba,1,0.010014689208981284,0.01078799746492161
AN05B023a|R|,AN05B023a,R,,ascending_neuron,gaba,1,0.009592885388905481,0.010346660360120705
AN05B023b|L|,AN05B023b,L,,ascending_neuron,gaba,1,7.848442190407588e-10,7.848442190407588e-10
AN05B023b|R|,AN05B023b,R,,ascending_neuron,gaba,1,0.0,0.0
AN05B023c|L|,AN05B023c,L,,ascending_neuron,gaba,1,1.606133903121278e-05,1.6023580416557785e-05
AN05B023c|R|,AN05B023c,R,,ascending_neuron,gaba,1,0.00040310122706303716,0.0004026984030915358
AN05B023d|L|,AN05B023d,L,,ascending_neuron,gaba,1,0.0,0.0
AN05B023d|R|,AN05B023d,R,,ascending_neuron,gaba,1,1.962883879832041e-06,0.0
AN05B024|L|,AN05B024,L,,ascending_neuron,gaba,1,0.001179718717827228,0.001008916656105255
